Ábel 2.1.
Ábo 18.12.
Ábrrán 18.12.
Ádá 30.10.
Ádo 23.6.
Ágá 23.2.
Agát 7.12.
Ággi 4.9.
Ahkebeaivi 28.3.
Ahkejuoksa 17.7.
Ahkemiella 9.6.
Áibmu 29.11.
Áidná 10.5.
Áidnu 10.5.
Áigesárri 19.10.
Áigin 21.6.
Áile 17.9.
Áillon 23.2.
Áilu 23.2.
Áirá 4.12.
Áire 4.12.
Áivvit 29.10.
Áksel 23.3.
Álbe 1.3.
Albearta 24.4.
Álbma 28.5.
Ále 11.9.
Álehttá 2.12.
Áles 10.10.
Álet 2.12.
Álfa 21.2.
Alfonsa 13.8.
Algebeaivi 24.10.
Álgen 7.8.
Aliinná 22.4.
Aliissá 14.7.
Állan 7.4.
Állet 2.12.
Álvá 31.1.
Amándá 26.10.
Ámmá 8.11.
Ámmol 8.11.
Ámmon 8.11.
Ámmot 8.11.
Ándá 30.11.
Ándaras 30.11.
Ándde 30.11.
Ánddijá 30.11.
Ánde 30.11.
Ánderijá 30.11.
Ánet 22.10.
Ánná 9.12.
Ánne 9.12.
Ánnjá 30.11.
Ánot 13.11.
Ansealbma 21.4.
Anselbme 21.4.
Ánte 30.11.
Ánton 17.1.
Ápmot 8.11.
Áppá 18.12.
Ápparan 18.12.
Áppo 18.12.
Ára 23.11.
Áron 1.7.
Árrajuoksa 20.4.
Ártne 16.11.
Ártor 31.10.
Árvet 31.8.
Ásko 6.9.
Ásllat 23.2.
Ássá 13.6.
Ásta 30.7.
Ástá 30.7.
Áttán 24.12.
Ávdnos 21.1.
Ávgos 7.1.
Ávrá 10.3.
Ávvu 9.3.
Bážá 3.11.
Báncu 11.11.
Bánnos 11.11.
Bávlá 22.6.
Bávlos 25.1.
Bávva 25.1.
Bávvál 25.1.
Beahkká 29.6.
Beaivi 16.6.
Beaivvet 25.6.
Beanta 21.3.
Beartu 24.8.
Beđar 29.6.
Begá 29.6.
Benjáme 20.12.
Benne 20.12.
Bente 21.3.
Biđe 29.6.
Biehtár 29.6.
Biejan 19.4.
Biellá 14.6.
Bienná 11.10.
Biera 29.6.
Bierdna 11.10.
Biergá 11.6.
Biette 29.6.
Biijá 28.12.
Bijáš 16.4.
Bikká 7.10.
Bilzi 5.2.
Biret 1.2.
Birger 17.6.
Birgget 7.10.
Birki 1.9.
Birrá 1.2.
Birtá 24.8.
Buohttá 18.9.
Cáijá 3.4.
Čoavvá 27.9.
Čuivi 6.5.
Curtnaš 28.2.
Čuvje 3.6.
Dáidu 14.4.
Dánel 11.12.
Dárbmu 6.3.
Dárjá 7.3.
Dávdna 12.9.
Dávgon 13.9.
Dávvet 30.12.
Deahppán 26.12.
Defá 26.12.
Delle 13.4.
Diijá 7.11.
Doaivu 4.6.
Doaivvot 4.6.
Doffá 15.3.
Dorste 27.2.
Duiri 25.2.
Dulá 14.5.
Duojá 17.10.
Duomis 21.12.
Duommá 21.12.
Duoŋgi 28.8.
Duová 12.12.
Duttá 3.1.
Duvká 24.5.
Duvre 28.4.
Eaddji 4.4.
¥ealggá 12.8.
Ealjá 26.2.
¥eará 3.9.
Edel 13.4.
