Abraham 18.12.
Ada 30.10.
Adam 24.12.
Adele 16.12.
Adolf 23.6.
Agata 7.12.
Agda 7.12.
Agnes 21.1.
Agneta 21.1.
Aina 10.5.
Aino 10.5.
Alarik 24.5.
Albert 24.4.
Albin 1.3.
Alex 11.9.
Alexander 11.9.
Alexandra 11.9.
Alexis 10.10.
Alf 21.2.
Alfa 31.1.
Alfhild 31.1.
Alfons 13.8.
Alfred 29.10.
Algot 13.2.
Alice 14.7.
Alina 22.4.
Allan 7.4.
Alma 28.5.
Alva 21.2.
Alvar 24.9.
Amalia 19.5.
Amanda 26.10.
Anders 30.11.
Andrea 30.11.
Andreas 30.11.
Anita 22.10.
Anja 22.10.
Anna 9.12.
Anne 9.12.
Anneli 9.12.
Annette 9.12.
Anni 9.12.
Annika 9.12.
Anton 17.1.
Antonia 17.1.
Arla 20.4.
Arna 16.11.
Arne 16.11.
Arnold 16.11.
Artur 31.10.
Arvid 31.8.
Aslög 13.6.
Asta 30.7.
Astrid 27.11.
Atle 4.3.
August 7.1.
Augusta 7.1.
Aurora 10.3.
Axel 23.3.
Barbara 4.12.
Barbro 4.12.
Beata 2.12.
Beatrice 2.12.
Ben 20.12.
Bengt 21.3.
Bengta 21.3.
Benita 21.3.
Benjamin 20.12.
Benny 20.12.
Berit 1.2.
Bernhard 19.4.
Bernt 19.4.
Berta 24.8.
Bertel 24.8.
Bertil 24.8.
Birger 17.6.
Birgit 7.10.
Birgitta 7.10.
Bjarne 23.2.
Björn 11.10.
Bo 18.8.
Bodil 9.2.
Boris 11.11.
Brita 7.10.
Britt 7.10.
Britta 7.10.
Bror 9.1.
Bruno 6.10.
Brynolf 16.8.
Börje 17.6.
Camilla 21.4.
Carina 4.11.
Carita 17.2.
Carola 28.1.
Cecilia 22.11.
Charlotta 12.5.
Conny 21.5.
Dag 9.6.
Daga 9.6.
Dagmar 26.11.
Dagny 12.9.
Dan 11.12.
Daniel 11.12.
Daniela 11.12.
David 30.12.
Dennis 9.5.
Diana 17.10.
Dick 7.2.
Disa 2.2.
Dora 6.2.
Doris 15.1.
Dorotea 6.2.
Dorrit 6.2.
Ebba 13.10.
Ebbe 13.10.
Edgar 29.11.
Edit 14.5.
Edvard 18.3.
Edvin 9.3.
Egil 3.7.
Einar 17.11.
Eira 9.8.
Eivor 12.1.
Ejvind 3.7.
Eleonora 11.7.
Elias 9.4.
Elin 10.2.
Elis 9.4.
Elisabet 19.11.
Elise 19.11.
Ella 10.2.
Ellen 10.2.
Elli 11.7.
Ellinor 11.7.
Elma 12.2.
Elmer 3.1.
Elna 10.2.
Elof 23.12.
Elsa 14.10.
Else 14.10.
Elvi 27.6.
Elvira 27.6.
Emanuel 26.3.
Emil 30.8.
Emilia 19.5.
Emma 19.5.
Enar 17.11.
Engelbert 27.4.
Engelbrekt 27.4.
Erik 18.5.
Erika 18.5.
Erland 3.11.
Erna 20.9.
Ernst 13.3.
Eskil 12.6.
Ester 16.5.
Estrid 27.11.
Etel 13.4.
Eugen 16.6.
Eva 24.12.
Evald 3.10.
Evert 9.9.
Fabian 20.1.
Fanny 2.3.
Felix 6.9.
Ferdinand 3.4.
Filip 8.3.
Filippa 8.3.
Finn 26.9.
Fjalar 24.10.
Flora 13.5.
Folke 27.1.
Frank 8.10.
Frans 4.10.
